,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,label
0,0.026365403620301,0.770889997,0.029820001,0.173299998,0.009786900000000001,0.0146,0.000202,0.00015,0.17238,0.6882543959599999,0.0197657,0.012786599999999999,0.00063,0.00316,1
1,0.481827740095484,0.3572718492713584,0.15525846866505671,0.006300862220619386,0.44345115071594027,0.0010166068453794494,0.0887631290048584,0.0034159590172927173,0.00017971888845517663,0.0,0.0003186334883796287,0.040544861264918935,0.0,0.0032146378584389213,0
2,0.5413954000000001,0.2777258,0.098023631,0.0043042099399999995,0.4509212,0.0,0.0091054,0.0134067,0.0022403436200000002,0.0,0.0,0.0,0.001239,0.001012424,0
3,0.29350000600000004,0.469199985,0.225700006,0.006666,0.14779999900000002,0.117700003,0.0391718420402,0.0055,0.006161000000000001,0.0,0.0002,0.04545000202,0.022119,0.017574,1
4,0.4609103,0.5208623530000001,0.022205759000000002,0.001412485,0.432492908,0.000100798,0.10304429999999999,0.0001961,0.0,0.0,0.0008488040000000001,0.08587030000000001,0.0,0.012045340799999998,1
5,0.2840005907800183,0.5925439339455995,0.11572619922829615,0.019353302014021845,0.19805382405866082,0.0,0.12699669034747696,0.0006300485435242131,0.018268212685341508,0.0,9.389609424528524e-05,0.0383000047307751,0.0,0.012025650901573391,1
6,0.363889668,0.58651812414,0.007491776000000002,0.057847648999999994,0.0731232,0.2581257,0.016496700000000003,0.00152056106,0.027616200000000004,0.0114172,0.000252197,0.0969586,0.0,0.0018969000000000002,0
7,0.481370002,0.420920014,0.039009999,0.010996678,0.1860723,0.159040004,0.044130001,0.030060001,7e-05,0.00965,0.0022523,0.029110000000000007,0.0031714,0.00430665818,0
8,0.84461546132,0.091496304,0.058354199999999995,0.000805,0.4448695,0.2600015,0.0,6.6e-05,1.9392e-05,0.0,0.0006042,0.00049288,0.0,0.002437,1
9,0.29589970202,0.381080002,0.283960015,0.00317,0.219760001,0.01725,0.046179999000000006,0.01464,0.0012775732400000003,0.00146,0.001203718,0.059390001,0.00512,0.005702359000000001,0
